product_name,ingredients_text,nova_group,health_score,allergens,additives,calories,protein_g,carbs_g,fat_g,sugar_g,sodium_mg,fiber_g,nutrition_density,food_group,source_dataset
Lemberger Red Wine,"lemberger red wine, fermented grape juice, sulfites, dietary fiber",3,81.8,,E220 (Sulfur dioxide),118.0,0.1,3.6,0.0,0.0,0.0,15.0,146.6,Group 2,FOOD-DATA-GROUP2.csv
Merlot Red Wine,"merlot red wine, fermented grape juice, sulfites",3,62.0,,E220 (Sulfur dioxide),122.0,0.1,3.7,0.0,0.9,11.0,0.0,16.3,Group 2,FOOD-DATA-GROUP2.csv
Sangiovese Red Wine,"sangiovese red wine, fermented grape juice, sulfites",3,57.0,,E220 (Sulfur dioxide),126.0,0.1,3.9,0.0,0.0,0.0,0.0,4.0,Group 2,FOOD-DATA-GROUP2.csv
Sauvignon Blanc White Wine,"sauvignon blanc white wine, fermented grape juice, sulfites",3,57.0,,E220 (Sulfur dioxide),119.0,0.1,3.0,0.0,0.0,0.0,0.0,3.1,Group 2,FOOD-DATA-GROUP2.csv
Syrah Red Wine,"syrah red wine, fermented grape juice, sulfites",3,57.0,,E220 (Sulfur dioxide),122.0,0.1,3.8,0.0,0.0,0.0,0.0,3.9,Group 2,FOOD-DATA-GROUP2.csv
Carignane Red Wine,"carignane red wine, fermented grape juice, sulfites",3,62.0,,E220 (Sulfur dioxide),370.0,0.4,12.0,0.0,0.0,0.0,0.0,12.4,Group 2,FOOD-DATA-GROUP2.csv
Pinot Blanc White Wine,"pinot blanc white wine, fermented grape juice, sulfites",3,57.0,,E220 (Sulfur dioxide),119.0,0.1,2.9,0.0,0.0,0.0,0.0,3.0,Group 2,FOOD-DATA-GROUP2.csv
Semillon White Wine,"semillon white wine, fermented grape juice, sulfites, dietary fiber",3,81.9,,E220 (Sulfur dioxide),121.0,0.1,4.6,0.0,0.0,0.0,14.9,147.7,Group 2,FOOD-DATA-GROUP2.csv
Dessert Wine Dry,"dessert wine dry, fermented grape juice, sulfites, dietary fiber",3,83.8,,E220 (Sulfur dioxide),760.0,1.0,58.4,0.0,5.5,0.0,76.5,498.8,Group 2,FOOD-DATA-GROUP2.csv
Red Wine,"red wine, fermented grape juice, sulfites",3,62.0,,E220 (Sulfur dioxide),125.0,0.1,3.8,0.0,0.9,27.0,0.0,16.4,Group 2,FOOD-DATA-GROUP2.csv
Cabernet Sauvignon Red Wine,"cabernet sauvignon red wine, fermented grape juice, sulfites",3,57.0,,E220 (Sulfur dioxide),166.0,0.1,5.2,0.0,0.0,0.0,0.0,5.3,Group 2,FOOD-DATA-GROUP2.csv
Muscat White Wine,"muscat white wine, fermented grape juice, sulfites",3,57.0,,E220 (Sulfur dioxide),123.0,0.1,7.8,0.0,0.0,0.0,0.0,7.9,Group 2,FOOD-DATA-GROUP2.csv
Cooking Wine,"cooking wine, fermented grape juice, sulfites",3,57.0,,E220 (Sulfur dioxide),2.0,0.0,0.3,0.0,0.1,2.0,0.0,0.9,Group 2,FOOD-DATA-GROUP2.csv
Chardonnay White Wine,"chardonnay white wine, fermented grape juice, sulfites",3,62.0,,E220 (Sulfur dioxide),168.0,0.1,4.3,0.0,1.9,27.0,0.0,22.9,Group 2,FOOD-DATA-GROUP2.csv
Claret Red Wine,"claret red wine, fermented grape juice, sulfites, dietary fiber",3,81.8,,E220 (Sulfur dioxide),122.0,0.1,4.4,0.0,0.0,0.0,15.0,146.5,Group 2,FOOD-DATA-GROUP2.csv
Rice Sake,rice sake,1,80.0,,,197.0,0.7,7.4,0.0,0.0,46.0,0.0,15.6,Group 2,FOOD-DATA-GROUP2.csv
Fume Blanc White Wine,"fume blanc white wine, fermented grape juice, sulfites, dietary fiber",3,81.8,,E220 (Sulfur dioxide),121.0,0.1,3.3,0.0,0.0,0.0,15.4,146.7,Group 2,FOOD-DATA-GROUP2.csv
Cabarnet Franc Red Wine,"cabarnet franc red wine, fermented grape juice, sulfites",3,57.0,,E220 (Sulfur dioxide),122.0,0.1,3.6,0.0,0.0,0.0,0.0,3.7,Group 2,FOOD-DATA-GROUP2.csv
Chocolate Frosting,chocolate frosting,4,43.9,,,81.0,0.2,13.0,3.6,11.8,25.0,0.2,18.9,Group 2,FOOD-DATA-GROUP2.csv
White Sugar,white sugar,2,65.0,,,19.0,0.0,5.0,0.0,4.9,12.0,0.0,5.0,Group 2,FOOD-DATA-GROUP2.csv
Egg Substitute,"egg substitute, high protein",1,94.1,Eggs,,115.0,24.0,4.8,0.0,4.8,500.0,0.0,210.0,Group 2,FOOD-DATA-GROUP2.csv
Agave Syrup,agave syrup,2,65.0,,,21.0,0.0,5.3,0.1,4.7,90.0,0.0,5.5,Group 2,FOOD-DATA-GROUP2.csv
Splenda Sweetener,splenda sweetener,4,11.1,,,336.0,0.0,91.2,0.0,80.3,0.0,0.0,91.2,Group 2,FOOD-DATA-GROUP2.csv
Vanilla Extract,vanilla extract,1,75.0,,,12.0,0.0,0.5,0.1,0.5,61.0,0.0,1.2,Group 2,FOOD-DATA-GROUP2.csv
Egg Yolk Dried,egg yolk dried,1,80.0,Eggs,,27.0,1.3,0.1,2.3,0.0,71.0,0.0,16.4,Group 2,FOOD-DATA-GROUP2.csv
Granulated Sugar,granulated sugar,2,65.0,,,16.0,0.0,4.2,0.0,4.2,19.0,0.0,4.3,Group 2,FOOD-DATA-GROUP2.csv
Baking Chocolate,"baking chocolate, dietary fiber",4,57.8,,,145.0,3.7,8.7,15.2,0.3,49.0,4.8,66.7,Group 2,FOOD-DATA-GROUP2.csv
Bakers Yeast,bakers yeast,1,83.5,,,18.0,1.4,3.1,0.3,0.0,66.0,1.4,10.1,Group 2,FOOD-DATA-GROUP2.csv
Fondant,fondant,1,66.3,,,106.0,0.0,26.4,0.0,25.2,22.0,0.0,27.4,Group 2,FOOD-DATA-GROUP2.csv
Brown Sugar,brown sugar,2,65.0,,,16.0,0.0,4.1,0.0,4.1,94.0,0.0,7.6,Group 2,FOOD-DATA-GROUP2.csv
White Frosting Dry,white frosting dry,4,46.1,,,768.0,4.8,196.4,0.0,0.0,500.0,0.0,209.7,Group 2,FOOD-DATA-GROUP2.csv
Maple Sugar,maple sugar,2,69.8,,,42.0,0.0,10.9,0.1,10.2,31.0,0.0,22.0,Group 2,FOOD-DATA-GROUP2.csv
Fructose Sweetener,fructose sweetener,4,40.0,,,15.0,0.0,4.2,0.0,3.9,13.0,0.0,4.3,Group 2,FOOD-DATA-GROUP2.csv
Saccharin Sweetener,saccharin sweetener,4,11.0,,,360.0,0.9,89.1,0.0,85.2,400.0,0.0,90.1,Group 2,FOOD-DATA-GROUP2.csv
Egg White Raw,egg white raw,1,75.0,Eggs,,17.0,3.6,0.2,0.1,0.2,38.0,0.0,6.2,Group 2,FOOD-DATA-GROUP2.csv
Turbinado Sugar,turbinado sugar,2,65.0,,,18.0,0.0,4.6,0.0,4.6,8.0,0.0,5.2,Group 2,FOOD-DATA-GROUP2.csv
Vanilla Frosting,vanilla frosting,4,6.5,,,1931.0,0.0,313.7,75.0,291.5,900.0,0.0,403.3,Group 2,FOOD-DATA-GROUP2.csv
Aspartame Sweetener,aspartame sweetener,4,11.1,,,365.0,2.2,89.1,0.0,80.7,0.0,0.0,91.4,Group 2,FOOD-DATA-GROUP2.csv
Egg Raw,egg raw,1,80.8,Eggs,,80.0,7.0,0.4,5.3,0.2,80.0,0.0,45.2,Group 2,FOOD-DATA-GROUP2.csv
Pineapple Topping,"pineapple topping, fresh raw fruit, natural fruit sugars, plant dietary fiber, vitamin c",4,23.8,,,860.0,0.3,225.8,0.3,71.4,100.0,1.4,259.1,Group 2,FOOD-DATA-GROUP2.csv
Egg White Dried,egg white dried,1,80.3,Eggs,,26.0,5.8,0.3,0.1,0.0,52.0,0.0,12.3,Group 2,FOOD-DATA-GROUP2.csv
Egg Yolk Raw,egg yolk raw,1,80.0,Eggs,,55.0,2.7,0.6,4.5,0.1,6.0,0.0,30.3,Group 2,FOOD-DATA-GROUP2.csv
Baking Soda,baking soda,4,26.5,,"E150d (Caramel color), E330 (Citric acid)",0.0,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,Group 2,FOOD-DATA-GROUP2.csv
Egg Dried,egg dried,1,80.0,Eggs,,30.0,2.4,0.0,2.2,0.1,60.0,0.0,16.6,Group 2,FOOD-DATA-GROUP2.csv
Strawberry Topping,"strawberry topping, fresh raw fruit, natural fruit sugars, plant dietary fiber, vitamin c",1,80.2,,,53.0,0.0,13.9,0.1,5.7,99.0,0.1,18.3,Group 2,FOOD-DATA-GROUP2.csv
Bakers Yeast Dry,bakers yeast dry,1,77.8,,,13.0,1.6,1.6,0.3,0.0,81.0,1.1,5.9,Group 2,FOOD-DATA-GROUP2.csv
Almond Paste,"almond paste, dietary fiber, high protein",4,39.4,Tree Nuts,,1040.0,20.4,108.5,63.0,82.3,51.0,10.9,597.0,Group 2,FOOD-DATA-GROUP2.csv
Cream Of Tartar,cream of tartar,1,75.0,Milk/Dairy,,8.0,0.0,1.8,0.0,0.0,9.0,0.0,2.1,Group 2,FOOD-DATA-GROUP2.csv
Popover Dry Mix,"popover dry mix, high protein",1,76.3,,,631.0,17.7,120.7,7.3,0.0,1500.0,0.0,205.3,Group 2,FOOD-DATA-GROUP2.csv
Egg Substitute Powder,"egg substitute powder, high protein",4,52.7,Eggs,,126.0,15.7,6.2,3.7,6.2,200.0,0.0,119.1,Group 2,FOOD-DATA-GROUP2.csv
Gelatin Powder,gelatin powder,4,40.0,,,17.0,4.3,0.0,0.1,0.0,29.0,0.0,7.3,Group 2,FOOD-DATA-GROUP2.csv
Tapioca Pearls,"tapioca pearls, fresh raw fruit, natural fruit sugars, plant dietary fiber, vitamin c",1,89.5,,,544.0,0.3,134.8,0.1,5.1,77.0,1.4,169.3,Group 2,FOOD-DATA-GROUP2.csv
Baking Powder,baking powder,4,54.7,,,2.0,0.0,1.3,0.0,0.0,500.0,0.0,272.2,Group 2,FOOD-DATA-GROUP2.csv
Egg Boiled,"egg boiled, egg boiled, pure extracted plant lipids",1,81.0,Eggs,,93.0,7.5,0.7,6.4,0.7,42.0,0.0,45.3,Group 2,FOOD-DATA-GROUP2.csv
Millet Flour,"millet flour, dietary fiber",1,97.6,Gluten/Wheat,,444.0,12.8,86.9,5.1,2.0,56.0,4.2,130.4,Group 2,FOOD-DATA-GROUP2.csv
Triticale Flour,"triticale flour, dietary fiber, high protein",1,98.0,Gluten/Wheat,,439.0,17.1,95.1,2.4,0.0,96.0,19.0,182.5,Group 2,FOOD-DATA-GROUP2.csv
Corn Flour White,"corn flour white, dietary fiber",1,98.0,Gluten/Wheat,,414.0,9.6,87.3,4.2,1.8,36.0,7.3,267.4,Group 2,FOOD-DATA-GROUP2.csv
Rice Flour Brown,"rice flour brown, dietary fiber",1,98.0,Gluten/Wheat,,574.0,11.4,120.8,4.4,1.3,39.0,7.3,164.4,Group 2,FOOD-DATA-GROUP2.csv
Sorghum Flour,"sorghum flour, dietary fiber",1,98.0,Gluten/Wheat,,437.0,9.5,93.7,4.0,2.3,23.0,8.0,133.3,Group 2,FOOD-DATA-GROUP2.csv
Cornmeal Whole Grain,"cornmeal whole grain, dietary fiber",1,98.0,,,442.0,9.9,93.8,4.4,0.8,22.0,8.9,128.5,Group 2,FOOD-DATA-GROUP2.csv
Cornmeal White,"cornmeal white, dietary fiber",1,98.0,,,581.0,11.2,124.7,2.7,2.5,94.0,6.1,151.1,Group 2,FOOD-DATA-GROUP2.csv
Barley Flour,"barley flour, dietary fiber, high protein",1,98.0,Gluten/Wheat,,511.0,15.5,110.3,2.4,1.2,62.0,14.9,194.5,Group 2,FOOD-DATA-GROUP2.csv
Safflower Seed Meal,safflower seed meal,1,82.0,,,97.0,10.1,13.8,0.7,0.0,6.0,0.0,47.8,Group 2,FOOD-DATA-GROUP2.csv
Sesame Flour,"sesame flour, high protein",1,98.0,"Gluten/Wheat, Sesame",,658.0,38.5,33.3,46.4,0.0,41.0,0.0,336.0,Group 2,FOOD-DATA-GROUP2.csv
Whole Grain Wheat Flour,"whole grain wheat flour, dietary fiber, high protein",1,98.0,Gluten/Wheat,,408.0,15.9,86.4,3.0,0.5,27.0,12.8,163.2,Group 2,FOOD-DATA-GROUP2.csv
Corn Flour Yellow,"corn flour yellow, dietary fiber",1,98.0,Gluten/Wheat,,422.0,8.1,89.9,4.5,0.7,40.0,8.5,122.0,Group 2,FOOD-DATA-GROUP2.csv
Corn Flour Whole Grain,"corn flour whole grain, dietary fiber",1,98.0,Gluten/Wheat,,422.0,8.1,89.9,4.5,0.7,33.0,8.5,122.0,Group 2,FOOD-DATA-GROUP2.csv
Cottonseed Flour Low Fat,cottonseed flour low fat,1,89.3,Gluten/Wheat,,94.0,14.1,10.2,0.4,0.0,22.0,0.0,163.1,Group 2,FOOD-DATA-GROUP2.csv
Sunflower Seed Flour,sunflower seed flour,1,75.5,Gluten/Wheat,,13.0,1.9,1.4,0.0,0.0,73.0,0.2,8.6,Group 2,FOOD-DATA-GROUP2.csv
Sesame Meal,sesame meal,1,81.2,Sesame,,160.0,4.8,7.4,13.6,0.0,73.0,0.0,73.2,Group 2,FOOD-DATA-GROUP2.csv
Acorn Flour,acorn flour,1,87.8,"Gluten/Wheat, Tree Nuts",,626.0,9.4,68.3,37.7,0.0,0.0,0.0,170.7,Group 2,FOOD-DATA-GROUP2.csv
Rice Flour White,"rice flour white, dietary fiber",1,96.7,Gluten/Wheat,,578.0,9.4,126.6,2.2,0.2,0.0,3.8,158.4,Group 2,FOOD-DATA-GROUP2.csv
Sesame Flour Low Fat,sesame flour low fat,1,84.7,"Gluten/Wheat, Sesame",,94.0,14.2,10.0,0.5,0.0,72.0,0.0,70.9,Group 2,FOOD-DATA-GROUP2.csv
Potato Flour,"potato flour, dietary fiber",1,98.0,Gluten/Wheat,,571.0,11.0,133.0,0.5,5.6,42.0,9.4,155.4,Group 2,FOOD-DATA-GROUP2.csv
Cornmeal Yellow,"cornmeal yellow, dietary fiber",1,98.0,,,581.0,11.2,124.7,2.7,2.5,11.0,6.1,151.1,Group 2,FOOD-DATA-GROUP2.csv
Rye Flour,"rye flour, dietary fiber",1,98.0,Gluten/Wheat,,364.0,10.0,78.2,1.4,0.9,61.0,8.2,112.0,Group 2,FOOD-DATA-GROUP2.csv
Arrowroot Flour,"arrowroot flour, dietary fiber",1,97.0,Gluten/Wheat,,457.0,0.4,112.8,0.1,0.0,2.0,4.4,169.3,Group 2,FOOD-DATA-GROUP2.csv
Chickpea Flour,"chickpea flour, dietary fiber, high protein",1,98.0,Gluten/Wheat,,356.0,20.6,53.2,6.2,10.0,50.0,9.9,135.8,Group 2,FOOD-DATA-GROUP2.csv
Wheat Flour,"wheat flour, dietary fiber",1,96.0,Gluten/Wheat,,455.0,12.9,95.4,1.2,0.3,61.0,3.4,137.5,Group 2,FOOD-DATA-GROUP2.csv
Cornstarch,cornstarch,1,86.6,,,488.0,0.3,116.8,0.0,0.0,93.0,1.2,121.5,Group 2,FOOD-DATA-GROUP2.csv
Carob Flour,carob flour,1,86.0,Gluten/Wheat,,13.0,0.3,5.3,0.1,2.9,33.0,2.4,29.2,Group 2,FOOD-DATA-GROUP2.csv
Buckwheat Flour,"buckwheat flour, dietary fiber, high protein",1,98.0,Gluten/Wheat,,402.0,15.1,84.7,3.7,3.1,33.0,12.0,169.6,Group 2,FOOD-DATA-GROUP2.csv
Pecan Pie,pecan pie,1,84.8,"Gluten/Wheat, Tree Nuts",,503.0,6.0,63.7,27.1,0.0,300.0,0.0,137.9,Group 2,FOOD-DATA-GROUP2.csv
Apple Pie,"apple pie, fresh raw fruit, natural fruit sugars, plant dietary fiber, vitamin c",1,81.4,Gluten/Wheat,,331.0,3.0,46.4,15.6,0.0,300.0,0.0,77.4,Group 2,FOOD-DATA-GROUP2.csv
Vanilla Wafer Pie Crust,vanilla wafer pie crust,1,80.3,Gluten/Wheat,,935.0,6.5,88.4,63.7,12.9,900.0,0.2,236.2,Group 2,FOOD-DATA-GROUP2.csv
Chocolate Pie Crust,"chocolate pie crust, dietary fiber",4,26.1,Gluten/Wheat,,881.0,11.1,117.4,40.8,47.9,900.0,4.9,240.2,Group 2,FOOD-DATA-GROUP2.csv
Apple Strudel,"apple strudel, fresh raw fruit, natural fruit sugars, plant dietary fiber, vitamin c",1,76.7,,,195.0,2.3,29.2,8.0,18.3,20.0,1.6,53.4,Group 2,FOOD-DATA-GROUP2.csv
Chocolate Snack Cake,chocolate snack cake,4,43.6,Gluten/Wheat,,200.0,1.8,30.2,8.0,18.9,200.0,1.6,102.5,Group 2,FOOD-DATA-GROUP2.csv
Fruit Fried Pie,"fruit fried pie, fresh raw fruit, natural fruit sugars, plant dietary fiber, vitamin c, dietary fiber",1,67.8,Gluten/Wheat,,404.0,3.8,54.5,20.6,27.4,400.0,3.3,113.8,Group 2,FOOD-DATA-GROUP2.csv
Pumpkin Pie,pumpkin pie,1,88.9,Gluten/Wheat,,316.0,7.0,40.9,14.4,0.0,300.0,0.0,212.7,Group 2,FOOD-DATA-GROUP2.csv
Corn Cake,corn cake,1,80.5,Gluten/Wheat,,35.0,0.7,7.5,0.2,2.1,10.0,0.2,10.4,Group 2,FOOD-DATA-GROUP2.csv
Sponge Snack Cake,sponge snack cake,1,75.9,Gluten/Wheat,,157.0,1.5,26.9,4.8,15.7,200.0,0.4,44.4,Group 2,FOOD-DATA-GROUP2.csv
Danish Pastry With Nuts,danish pastry with nuts,1,80.4,,,280.0,4.6,29.7,16.4,16.8,200.0,1.3,115.5,Group 2,FOOD-DATA-GROUP2.csv
Chocolate Cream Pie,chocolate cream pie,4,52.2,"Milk/Dairy, Gluten/Wheat",,301.0,2.6,33.3,19.2,0.0,100.0,2.0,93.8,Group 2,FOOD-DATA-GROUP2.csv
Angel Food Cake,angel food cake,1,81.4,Gluten/Wheat,,72.0,1.7,16.2,0.2,0.0,200.0,0.4,57.8,Group 2,FOOD-DATA-GROUP2.csv
Lemon Meringue Pie,lemon meringue pie,1,82.1,"Gluten/Wheat, Eggs",,362.0,4.8,49.7,16.4,0.0,300.0,0.0,91.6,Group 2,FOOD-DATA-GROUP2.csv
Danish Pastry With Cinnamon,danish pastry with cinnamon,1,83.0,,,349.0,4.8,46.9,16.7,0.0,300.0,0.0,109.9,Group 2,FOOD-DATA-GROUP2.csv
Cinnamon Coffeecake,cinnamon coffeecake,1,84.1,,,238.0,3.9,26.6,13.3,0.0,200.0,1.1,77.1,Group 2,FOOD-DATA-GROUP2.csv
Cheesecake,"cheesecake, pasteurized milk, cheese cultures, salt, enzymes",3,57.8,,,257.0,4.4,20.4,18.0,17.4,400.0,0.3,84.8,Group 2,FOOD-DATA-GROUP2.csv
Fruitcake,"fruitcake, fresh raw fruit, natural fruit sugars, plant dietary fiber, vitamin c",1,82.4,,,139.0,1.2,26.5,3.9,11.8,13.0,1.6,48.5,Group 2,FOOD-DATA-GROUP2.csv
Egg Custard,egg custard,4,41.8,"Milk/Dairy, Eggs",,293.0,14.2,31.0,12.9,31.0,200.0,0.0,360.9,Group 2,FOOD-DATA-GROUP2.csv
Mince Pie,"mince pie, dietary fiber",4,25.0,Gluten/Wheat,,477.0,4.3,79.2,17.8,46.7,400.0,4.3,154.1,Group 2,FOOD-DATA-GROUP2.csv
Yellow Cake With Chocolate Frosting,yellow cake with chocolate frosting,4,27.1,Gluten/Wheat,,546.0,4.6,79.7,25.6,56.5,400.0,2.2,161.1,Group 2,FOOD-DATA-GROUP2.csv
Danish Pastry With Fruit,"danish pastry with fruit, fresh raw fruit, natural fruit sugars, plant dietary fiber, vitamin c",1,82.0,,,335.0,4.8,45.1,15.9,0.0,300.0,0.0,90.5,Group 2,FOOD-DATA-GROUP2.csv
White Cake With Coconut Frosting,white cake with coconut frosting,4,18.8,Gluten/Wheat,,399.0,4.9,70.8,11.5,64.3,300.0,1.1,190.6,Group 2,FOOD-DATA-GROUP2.csv
Danish Pastry With Cheese,"danish pastry with cheese, pasteurized milk, cheese cultures, salt, enzymes",3,66.5,Milk/Dairy,,353.0,5.8,28.7,24.6,0.0,300.0,0.0,133.7,Group 2,FOOD-DATA-GROUP2.csv
Graham Cracker Pie Crust,"graham cracker pie crust, dietary fiber",3,44.9,Gluten/Wheat,,917.0,9.3,117.7,45.4,33.2,900.0,3.5,233.8,Group 2,FOOD-DATA-GROUP2.csv
Blueberry Pie,"blueberry pie, fresh raw fruit, natural fruit sugars, plant dietary fiber, vitamin c",1,81.7,Gluten/Wheat,,360.0,4.0,49.2,17.5,0.0,300.0,0.0,83.8,Group 2,FOOD-DATA-GROUP2.csv
Yellow Cake With Vanilla Frosting,yellow cake with vanilla frosting,4,47.5,Gluten/Wheat,,239.0,2.2,37.6,9.3,0.0,200.0,0.2,89.8,Group 2,FOOD-DATA-GROUP2.csv
Pie Crust,pie crust,1,81.0,Gluten/Wheat,,121.0,1.5,10.9,8.0,0.0,100.0,0.4,23.8,Group 2,FOOD-DATA-GROUP2.csv
Chocolate Cake With Chocolate Frosting,chocolate cake with chocolate frosting,4,27.5,Gluten/Wheat,,537.0,4.8,72.9,27.7,55.1,500.0,3.0,154.2,Group 2,FOOD-DATA-GROUP2.csv
Cheese Coffeecake,"cheese coffeecake, pasteurized milk, cheese cultures, salt, enzymes",3,66.5,Milk/Dairy,,258.0,5.3,33.7,11.6,0.0,300.0,0.8,96.8,Group 2,FOOD-DATA-GROUP2.csv
Vanilla Cream Pie,vanilla cream pie,1,83.6,"Milk/Dairy, Gluten/Wheat",,350.0,6.0,41.1,18.1,16.0,300.0,0.8,181.4,Group 2,FOOD-DATA-GROUP2.csv
Pineapple Cake,"pineapple cake, fresh raw fruit, natural fruit sugars, plant dietary fiber, vitamin c",1,90.7,Gluten/Wheat,,367.0,4.0,58.1,13.9,0.0,400.0,0.9,218.0,Group 2,FOOD-DATA-GROUP2.csv
Peach Pie,"peach pie, fresh raw fruit, natural fruit sugars, plant dietary fiber, vitamin c",1,74.9,Gluten/Wheat,,262.0,2.2,38.5,11.7,19.0,300.0,0.9,64.4,Group 2,FOOD-DATA-GROUP2.csv
Fruit Coffeecake,"fruit coffeecake, fresh raw fruit, natural fruit sugars, plant dietary fiber, vitamin c",1,83.7,,,156.0,2.6,25.8,5.1,0.0,200.0,1.3,58.9,Group 2,FOOD-DATA-GROUP2.csv
Pound Cake,pound cake,1,80.5,Gluten/Wheat,,116.0,1.7,14.6,6.0,0.0,100.0,0.2,33.5,Group 2,FOOD-DATA-GROUP2.csv
Pound Cake Bread,"pound cake bread, grain flour, water, yeast, salt",3,65.2,Gluten/Wheat,,215.0,3.9,28.2,9.6,10.0,200.0,0.9,69.1,Group 2,FOOD-DATA-GROUP2.csv
White Cake,white cake,1,72.0,Gluten/Wheat,,264.0,4.0,42.3,9.2,26.3,200.0,0.6,153.6,Group 2,FOOD-DATA-GROUP2.csv
Coffeecake With Chocolate Frosting,coffeecake with chocolate frosting,4,52.0,,,298.0,4.5,48.4,9.7,0.0,300.0,1.8,99.2,Group 2,FOOD-DATA-GROUP2.csv
Popcorn Cake,popcorn cake,1,80.8,Gluten/Wheat,,38.0,1.0,8.0,0.3,0.0,50.0,0.3,10.7,Group 2,FOOD-DATA-GROUP2.csv
Banana Cream Pie,"banana cream pie, fresh raw fruit, natural fruit sugars, plant dietary fiber, vitamin c, dietary fiber, high protein",4,19.0,"Milk/Dairy, Gluten/Wheat",,3190.0,52.2,390.2,161.3,143.0,2800.0,8.3,1533.5,Group 2,FOOD-DATA-GROUP2.csv
Baked Apple Pie Mcdonalds,"baked apple pie mcdonalds, fresh raw fruit, natural fruit sugars, plant dietary fiber, vitamin c",1,81.5,Gluten/Wheat,,91.0,0.9,12.3,4.4,4.9,76.0,0.6,33.3,Group 2,FOOD-DATA-GROUP2.csv
Sponge Cake,sponge cake,1,81.1,Gluten/Wheat,,187.0,4.6,36.4,2.7,0.0,100.0,0.0,71.3,Group 2,FOOD-DATA-GROUP2.csv
Yellow Cake,yellow cake,1,86.3,Gluten/Wheat,,245.0,3.6,36.0,9.9,0.0,200.0,0.5,150.5,Group 2,FOOD-DATA-GROUP2.csv
Shortcake,shortcake,1,81.4,,,98.0,1.7,13.7,4.0,0.0,100.0,0.0,78.2,Group 2,FOOD-DATA-GROUP2.csv
Cherry Pie,cherry pie,1,83.5,Gluten/Wheat,,486.0,5.0,69.3,22.0,0.0,300.0,0.0,119.4,Group 2,FOOD-DATA-GROUP2.csv
Dutch Apple Pie,"dutch apple pie, fresh raw fruit, natural fruit sugars, plant dietary fiber, vitamin c",4,27.3,Gluten/Wheat,,397.0,3.0,61.0,15.8,30.2,300.0,2.2,110.3,Group 2,FOOD-DATA-GROUP2.csv
Chocolate Cake,chocolate cake,4,52.8,Gluten/Wheat,,352.0,5.0,50.7,14.3,0.0,300.0,1.5,130.2,Group 2,FOOD-DATA-GROUP2.csv
Marshmallow,marshmallow,4,43.7,,,64.0,0.4,16.3,0.0,11.5,39.0,0.0,17.4,Group 2,FOOD-DATA-GROUP2.csv
Sugar Apple,"sugar apple, fresh raw fruit, natural fruit sugars, plant dietary fiber, vitamin c, dietary fiber",2,78.5,,,72.0,1.6,18.2,0.2,0.0,45.0,3.4,23.6,Group 2,FOOD-DATA-GROUP2.csv
Toffee,toffee,1,80.0,,,67.0,0.1,7.8,3.9,7.6,44.0,0.0,12.0,Group 2,FOOD-DATA-GROUP2.csv
Vanilla Fudge With Nuts,vanilla fudge with nuts,1,71.7,,,123.0,0.8,21.1,3.9,20.1,75.0,0.3,39.6,Group 2,FOOD-DATA-GROUP2.csv
Peanuts Chocolate Coated,peanuts chocolate coated,4,40.5,,,21.0,0.5,2.0,1.3,1.5,63.0,0.2,8.3,Group 2,FOOD-DATA-GROUP2.csv
Caramel With Nuts Chocolate Coated,caramel with nuts chocolate coated,4,46.5,,,66.0,1.3,8.5,2.9,5.8,41.0,0.6,24.7,Group 2,FOOD-DATA-GROUP2.csv
Gingerbread,"gingerbread, grain flour, water, yeast, salt",3,64.8,,,263.0,2.9,36.4,12.1,0.0,200.0,0.0,106.1,Group 2,FOOD-DATA-GROUP2.csv
Rolo Nestle,rolo nestle,1,75.0,,,24.0,0.0,0.2,1.0,0.1,0.0,0.0,1.2,Group 2,FOOD-DATA-GROUP2.csv
Vanilla Fudge,vanilla fudge,1,68.7,,,108.0,0.3,23.2,1.5,22.6,40.0,0.0,35.9,Group 2,FOOD-DATA-GROUP2.csv
Halavah,"halavah, dietary fiber",1,91.8,,,328.0,8.7,42.3,15.1,0.0,100.0,3.2,95.6,Group 2,FOOD-DATA-GROUP2.csv
Praline,praline,1,73.0,,,189.0,1.3,23.2,10.1,21.8,16.0,1.4,53.4,Group 2,FOOD-DATA-GROUP2.csv
Fruit Juice Bar,"fruit juice bar, fresh raw fruit, natural fruit sugars, plant dietary fiber, vitamin c",1,78.8,,,67.0,0.9,15.6,0.1,13.5,11.0,0.8,28.7,Group 2,FOOD-DATA-GROUP2.csv
Peanut Brittle,peanut brittle,1,77.7,Peanuts,,138.0,2.1,20.2,5.4,14.5,100.0,0.7,36.3,Group 2,FOOD-DATA-GROUP2.csv
Butterscotch,"butterscotch, pasteurized cream, natural milk fat",2,65.0,,,21.0,0.1,4.8,0.2,4.3,39.0,0.0,5.4,Group 2,FOOD-DATA-GROUP2.csv
Chocolate Coffee Beans,chocolate coffee beans,4,46.4,,,155.0,2.1,15.6,9.4,14.4,6.0,1.6,77.1,Group 2,FOOD-DATA-GROUP2.csv
Nougat With Almonds,nougat with almonds,1,79.7,,,56.0,0.5,12.9,0.2,11.7,61.0,0.5,18.7,Group 2,FOOD-DATA-GROUP2.csv
Carob,carob,1,82.5,,,135.0,2.0,14.1,7.8,8.5,15.0,1.0,25.0,Group 2,FOOD-DATA-GROUP2.csv
